Rank / Location ,All Households ,Families ,Families with Children ,Families without Children 
New York City ,"$69,407.00","$78,113.00","$69,028.00","$84,278.00"
Boroughs ,,,,
Bronx ,"$41,432.00","$50,835.00","$41,129.00","$61,248.00"
Brooklyn ,"$66,937.00","$74,422.00","$66,936.00","$79,400.00"
Manhattan ,"$93,651.00","$126,690.00","$140,841.00","$121,669.00"
Queens ,"$73,696.00","$82,534.00","$75,501.00","$86,501.00"
Staten Island ,"$89,821.00","$105,438.00","$104,641.00","$106,015.00"
Community Districts ,,,,
Astoria (Q01) ,"$79,180.00","$88,662.00","$75,972.00","$92,755.00"
Battery Park/Tribeca (M01) ,"$162,092.00","$230,219.00","$250,001.00","$204,568.00"
Bay Ridge (K10) ,"$76,569.00","$89,345.00","$91,935.00","$87,713.00"
Bayside (Q11) ,"$92,682.00","$108,371.00","$120,639.00","$102,316.00"
Bedford Park (B07) ,"$41,336.00","$47,784.00","$40,863.00","$56,260.00"
Bedford Stuyvesant (K03) ,"$61,186.00","$62,050.00","$45,782.00","$73,065.00"
Bensonhurst (K11) ,"$57,139.00","$64,755.00","$59,268.00","$67,307.00"
Borough Park (K12) ,"$55,071.00","$57,904.00","$51,587.00","$62,144.00"
Brownsville (K16) ,"$31,345.00","$40,578.00","$28,585.00","$49,580.00"
Bushwick (K04) ,"$66,275.00","$61,653.00","$56,129.00","$66,280.00"
Canarsie (K18) ,"$80,471.00","$93,207.00","$90,463.00","$93,909.00"
Central Harlem (M10) ,"$54,932.00","$61,606.00","$51,599.00","$69,025.00"
Chelsea/Clinton (M04) ,"$120,248.00","$186,093.00","$155,955.00","$190,740.00"
Concourse/Highbridge (B04) ,"$32,559.00","$41,687.00","$36,914.00","$49,117.00"
Coney Island (K13) ,"$40,711.00","$52,000.00","$50,855.00","$52,491.00"
Crown Heights North (K08) ,"$74,429.00","$81,329.00","$88,351.00","$76,379.00"
Crown Heights South (K09) ,"$66,701.00","$71,983.00","$60,688.00","$78,110.00"
East Flatbush (K17) ,"$60,895.00","$72,723.00","$67,436.00","$74,895.00"
East Harlem (M11) ,"$32,408.00","$40,114.00","$34,242.00","$50,505.00"
East New York (K05) ,"$45,991.00","$51,274.00","$46,386.00","$58,357.00"
East Tremont (B06) ,"$23,605.00","$35,295.00","$27,471.00","$42,407.00"
Elmhurst/Corona (Q04) ,"$67,143.00","$67,886.00","$58,182.00","$78,892.00"
Flatbush/Midwood (K14) ,"$65,599.00","$78,076.00","$68,911.00","$85,968.00"
Flushing (Q07) ,"$54,933.00","$63,497.00","$62,011.00","$64,190.00"
Fort Greene/Brooklyn Hts (K02) ,"$111,546.00","$140,272.00","$190,541.00","$127,884.00"
Fresh Meadows/Briarwood (Q08) ,"$72,166.00","$85,373.00","$76,256.00","$88,152.00"
Greenwich Village (M02) ,"$162,092.00","$230,219.00","$250,001.00","$204,568.00"
Howard Beach (Q10) ,"$84,258.00","$94,897.00","$77,002.00","$103,883.00"
Hunts Point (B02) ,"$25,074.00","$35,196.00","$22,437.00","$43,680.00"
Jackson Heights (Q03) ,"$67,201.00","$66,791.00","$51,864.00","$70,584.00"
Jamaica/St. Albans (Q12) ,"$65,744.00","$78,138.00","$69,223.00","$82,264.00"
Lower East Side (M03) ,"$41,302.00","$42,400.00","$38,510.00","$45,183.00"
Manhattanville (M09) ,"$68,370.00","$88,914.00","$112,317.00","$84,861.00"
Midtown Business District (M05) ,"$120,248.00","$186,093.00","$155,955.00","$190,740.00"
Morrisania (B03) ,"$23,605.00","$35,295.00","$27,471.00","$42,407.00"
Mott Haven (B01) ,"$25,074.00","$35,196.00","$22,437.00","$43,680.00"
Murray Hill/Stuyvesant (M06) ,"$154,501.00","$219,465.00","$247,577.00","$217,813.00"
Park Slope (K06) ,"$155,250.00","$191,442.00","$203,243.00","$178,700.00"
Pelham Parkway (B11) ,"$58,204.00","$67,636.00","$53,222.00","$74,441.00"
Queens Village (Q13) ,"$94,789.00","$103,586.00","$103,134.00","$103,730.00"
Rego Park/Forest Hills (Q06) ,"$89,160.00","$120,120.00","$134,289.00","$105,599.00"
Ridgewood/Glendale (Q05) ,"$72,781.00","$79,730.00","$75,686.00","$83,002.00"
Riverdale (B08) ,"$61,248.00","$71,037.00","$67,656.00","$74,414.00"
Sheepshead Bay (K15) ,"$75,127.00","$90,440.00","$80,477.00","$104,165.00"
South Beach (S02) ,"$82,089.00","$92,195.00","$81,748.00","$95,935.00"
St. George (S01) ,"$75,180.00","$100,016.00","$81,392.00","$104,187.00"
Sunnyside/Woodside (Q02) ,"$80,913.00","$95,035.00","$79,362.00","$105,726.00"
Sunset Park (K07) ,"$67,871.00","$69,809.00","$58,391.00","$85,443.00"
The Rockaways (Q14) ,"$55,034.00","$62,257.00","$60,043.00","$69,755.00"
Throgs Neck (B10) ,"$61,029.00","$70,728.00","$61,417.00","$71,236.00"
Tottenville (S03) ,"$108,025.00","$125,123.00","$122,406.00","$126,728.00"
Unionport/Soundview (B09) ,"$43,975.00","$52,378.00","$41,767.00","$57,920.00"
University Heights (B05) ,"$32,025.00","$41,941.00","$38,093.00","$46,311.00"
Upper East Side (M08) ,"$134,264.00","$225,919.00","$250,001.00","$179,869.00"
Upper West Side (M07) ,"$136,735.00","$242,446.00","$250,001.00","$236,136.00"
Washington Heights (M12) ,"$53,507.00","$59,517.00","$51,839.00","$63,179.00"
Williamsbridge (B12) ,"$60,228.00","$68,854.00","$55,352.00","$76,192.00"
Williamsburg/Greenpoint (K01) ,"$98,284.00","$81,507.00","$74,327.00","$88,784.00"
Woodhaven (Q09) ,"$76,978.00","$87,282.00","$91,903.00","$85,907.00"
